plot,lidar,Total return count,Return 1 count,Return 2 count,Return 3 count,Return 4 count,Return 5 count,Return 6 count,Return 7 count,Return 8 count,Return 9 count,Other return count,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Percentage first returns above 20.00,Percentage all returns above 20.00,(All returns above 20.00) / (Total first returns) * 100,First returns above 20.00,All returns above 20.00,Percentage first returns above mean,Percentage first returns above mode,Percentage all returns above mean,Percentage all returns above mode,(All returns above mean) / (Total first returns) * 100,(All returns above mode) / (Total first returns) * 100,First returns above mean,First returns above mode,All returns above mean,All returns above mode,Total first returns,Total all returns,Profile area
J4,2017,30087,20686,7969,1328,104,0,0,0,0,0,0,-0.62,35.09,21.639294,22.619841,7.66006,58.676524,0.353988,9.160002,-0.764226,3.431207,5.896735,4.58,4.580159,21.639294,4.228788,-0.563476,0.618337,0.195422,-0.133248,0.146221,0.2086,5.8,11.1,16.610001,17.879999,19.01,20.73,22.4,23.940001,25.860001,27.040001,28.48,31.23,32.450001,33.919998,0.623335,22.955035,23.868687,1,75,25.012264,6.873016,14.871953,221.174981,0.594586,23,0.39688,2.425154,12.362721,25.012264,8.470381,0.724422,0.480401,0.338649,0.085524,0.056715,1,4,6,10,12,15,20,24,28,33,35,38,45,52,61,78.52654,64.419849,93.69622,16244,19382,68.495601,62.13381,54.388939,48.725363,79.106642,70.869187,14169,12853,16364,14660,20686,30087,62.788883
I1,2017,57627,40624,14508,2322,173,0,0,0,0,0,0,-0.59,32.599998,17.424047,21.00984,6.667017,44.449109,0.382633,7.739999,-0.719221,3.309048,5.156711,3.83,4.129841,17.424047,3.673998,-0.51998,0.569818,0.210858,-0.14153,0.155095,0.28,2.57,7.8,12.95,14.22,15.17,16.780001,18.34,19.889999,21.280001,21.959999,22.700001,24.889999,26.98,29.76,0.542755,18.655985,19.487098,1,89,26.654554,3.793651,15.644029,244.735644,0.586918,25,0.358861,2.487927,13.028953,26.654554,8.912366,0.619585,0.497248,0.334366,0.06952,0.055793,1,4,6,11,13,16,21,26,31,35,38,40,48,54,65,51.826506,39.295816,55.742911,21054,22645,69.7051,43.570303,55.581585,32.342478,78.845018,45.879283,28317,17700,32030,18638,40624,57627,57.526753
I2,2017,114160,81049,27897,4769,445,0,0,0,0,0,0,-0.82,31.99,18.500331,19.490952,5.842302,34.132498,0.315794,6.8,-1.048054,4.053683,4.439982,3.370001,3.380952,18.500331,3.158594,-0.61184,0.515248,0.170732,-0.193706,0.163126,0.25,6.72,10,14.7,15.78,16.860001,18.43,19.530001,20.639999,21.83,22.58,23.389999,24.83,25.98,27.58,0.588855,19.400888,20.014436,1,85,26.693956,5,15.763438,248.485966,0.590525,25,0.385322,2.454647,13.10039,26.693956,8.979078,0.721519,0.517542,0.336371,0.080356,0.057639,2,4,6,11,13,16,21,26,30,35,38,41,49,55,65,60.174709,45.539594,64.143913,48771,51988,75.439549,65.556639,59.299229,50.389804,83.524781,70.975583,61143,53133,67696,57525,81049,114160,66.043115
I3,2017,133142,98549,29939,4384,270,0,0,0,0,0,0,-0.82,31.809999,17.559326,18.34365,6.267672,39.283707,0.356943,7.44,-0.820217,3.482908,4.833479,3.69,3.693651,17.559326,3.446978,-0.52599,0.512752,0.196305,-0.152594,0.148754,0.15,3.94,8.92,13.17,14.47,15.51,17.040001,18.389999,19.74,21.15,21.91,22.82,25.139999,26.15,27.5,0.563265,18.644392,19.382355,1,87,27.821356,33.761905,15.628374,244.24607,0.56174,24,0.291329,2.420386,12.930474,27.821356,8.920496,0.495958,0.570266,0.320635,0.055598,0.063928,2,5,7,12,15,18,23,28,32,36,39,42,49,55,64,48.801104,38.233615,51.654507,48093,50905,68.79116,62.668317,56.075468,50.367277,75.759267,68.047367,67793,61759,74660,67060,98549,133142,62.80036
I4,2017,228940,159184,58600,10368,788,0,0,0,0,0,0,-0.63,33.099998,20.585918,26.13984,6.761941,45.72385,0.328474,9.040001,-0.905825,3.688937,5.332429,4.389999,4.650161,20.585918,3.710545,-0.626725,0.483413,0.180247,-0.168904,0.130281,0.33,6.58,12.17,15.51,16.639999,17.719999,20.01,21.82,23.34,24.91,25.68,26.35,27.91,29.58,31.610001,0.628993,21.668033,22.418713,1,86,25.037861,3.698413,15.285095,233.634129,0.610479,23,0.467049,2.525842,12.668119,25.037861,8.678988,0.880128,0.523473,0.346635,0.101409,0.060315,1,4,6,10,12,15,19,24,28,33,35,38,47,53,62,76.304151,60.013977,86.312695,121464,137396,73.421952,30.352297,57.057744,21.687778,82.061011,31.191577,116876,48316,130628,49652,159184,228940,64.117854
H1,2017,13909,9991,3387,498,33,0,0,0,0,0,0,-0.61,32.630001,15.288461,21.550001,7.78462,60.600312,0.509183,12.780001,-0.20703,2.067962,6.691717,6.119999,6.04,15.288461,4.458788,-0.287963,0.148577,0.291644,-0.064583,0.033322,0.0008,1.814,4.14,7.516001,8.91,10.21,13.33,16.6,18.77,20.780001,21.690001,22.549999,24.622002,25.891993,31.030001,0.478293,17.156136,18.425138,1,75,25.750737,26.84127,14.593832,212.979926,0.566735,22,0.27402,2.295601,12.129759,25.750737,8.348255,0.484448,0.482237,0.324195,0.05803,0.057765,1,4,6,11,14,16,21,25,29,34,36,39,46,51,58,44.750275,33.834208,47.102392,4471,4706,66.059454,35.081573,53.504925,25.954418,74.487038,36.132519,6600,3505,7442,3610,9991,13909,48.260205
H2,2017,13514,10102,3002,380,30,0,0,0,0,0,0,-0.5,27.360001,13.676337,18.957778,6.794083,46.159565,0.496777,10.98,-0.230291,2.051445,5.763975,5.5,5.507778,13.676337,3.902698,-0.234012,0.136962,0.285361,-0.059962,0.035094,0.02,1.63,3.86,7.14,8.5,9.53,12.06,14.01,16.290001,18.590996,19.48,20.379999,22.25,23.57,25.35,0.508842,15.270833,16.361028,1,72,27.008732,26.920635,14.505268,210.402795,0.537058,22,0.164424,2.220528,12.037412,27.008732,8.3171,0.27125,0.481355,0.307941,0.032613,0.057875,2,5,7,12,15,18,23,27,31,35,37,40,47,52,58,28.707187,22.103004,29.568402,2900,2987,62.047119,35.982974,51.709338,28.022791,69.174421,37.487626,6268,3635,6988,3787,10102,13514,52.937612
H3,2017,13832,10045,3281,464,42,0,0,0,0,0,0,-0.82,29.59,16.604879,21.384127,6.781091,45.983195,0.408379,9.792501,-0.655633,2.54748,5.608134,4.315,4.034127,16.604879,3.801583,-0.631304,0.290791,0.228944,-0.166063,0.076492,0.07,3.43,6.1,10.31,12.077499,13.9,16.07,18.285,19.77,21.219999,21.870001,22.540001,24.139999,25.4,27.303808,0.572998,17.936049,18.818561,1,76,26.75629,6.952381,14.820638,219.651323,0.553912,23,0.221744,2.300399,12.285682,26.75629,8.479795,0.3633,0.50702,0.316927,0.042843,0.059792,2,5,7,11,14,17,23,27,31,35,37,40,47,52,60,50.970632,38.62059,53.180687,5120,5342,72.025884,38.576406,57.851359,28.788317,79.661523,39.641613,7235,3875,8002,3982,10045,13832,59.796882
H4,2017,13294,9984,2949,339,22,0,0,0,0,0,0,-0.59,27.129999,13.156697,18.769999,6.606481,43.645587,0.502138,10.7375,-0.196416,2.030128,5.657027,5.34,5.62,13.156697,3.796379,-0.204113,0.122345,0.288551,-0.053765,0.032227,0.02,1.84,3.453001,6.95,7.9925,9.06,11.27,13.6,15.877998,17.890995,18.73,19.540001,21.407001,22.84,25.299999,0.495913,14.722126,15.7987,1,70,26.638559,24,14.550923,211.729352,0.546235,22,0.290622,2.383905,11.95672,26.638559,8.306896,0.497949,0.601952,0.311837,0.059944,0.072464,2,5,7,12,15,18,22,26,30,34,37,40,47,52,60,23.267228,17.759892,23.647837,2323,2361,62.690304,32.171474,51.602227,24.763051,68.709936,32.972756,6259,3212,6860,3292,9984,13294,50.981919
G1,2017,13719,9941,3263,482,33,0,0,0,0,0,0,-0.58,30.389999,14.812966,22.033015,7.824661,61.225325,0.528231,12.77,-0.258117,1.984304,6.674138,6.24,6.426984,14.812966,4.492627,-0.322186,0.118814,0.30329,-0.071714,0.026446,-0.03,1.009,3.17,6.82,8.74,10.17,13.062002,15.77,17.897997,20.375996,21.51,22.454004,24.620001,25.940996,28.1,0.497028,16.752457,18.015682,1,81,27.214301,28.936508,15.782385,249.083682,0.57993,24,0.39323,2.4413,13.033932,27.214301,8.988294,0.760841,0.588561,0.330278,0.084648,0.065481,2,5,7,12,14,17,22,26,31,35,38,41,50,55,65,41.253395,31.656826,43.687758,4101,4343,65.023639,29.916507,54.049129,22.472483,74.590081,31.012977,6464,2974,7415,3083,9941,13719,51.694106
